jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgent Hiring For Networking Jobs,Next Career Point,Kozhikode/Calicut|Kottayam,0-3years,330000 - 560000 INR,Networking Jobs,Networking|Networkengineer|Lan|Wan|Routers|NetworkAdministrator|
Wireless Engineer,Aryan Solutions Pte Ltd,Bengaluru/Bangalore,6-11years,930000 - 2590000 INR,Looking for Wireless Engineer,802.11|Wireless|Network|Lan|Wan|
Telecommunication Engineer Hiring for Abroad,Adal Immigrations LLP,Australia|Canada,2-7years,2000000 - 5000000 INR,"Strong knowledge of Telecom technologies such as VoIP, telephone carriers and associated services, SIP trunking, etc |  Knowledge of AD, DNS, DHCP, Networking, Firewall technologies.",Hardware|Networking|Networkengineer|Lan|Wan|Routers|NetworkAdministrator|Storage|
Linux server Administrator,BudgetVM,Chandigarh,15-25years,2000000 - 3700000 INR,Please apply only if you can join in 30 days.  |    |   Linux Systems Administrator |    |,AzureStackHub|SD-WAN|Onapp|Linux|CloudSecurity|Openstack|Docker|Kubernetes|
Linux server Administrator -Remote only,BudgetVM,Chandigarh,15-25years,2000000 - 3700000 INR,Linux Adminsitrator,AzureStackHub|SD-WAN|Onapp|Linux|CloudSecurity|Openstack|Docker|Kubernetes|
Linux server Administrator -Remote till covid,BudgetVM,Chandigarh,10-20years,2000000 - 3000000 INR,"Linux Server Administration ,Openstack |   Onapp |   AWS Outposts |   Azure Stack Hub |   SD-WAN |   Cloud Security",AzureStackHub|SD-WAN|Onapp|Linux|CloudSecurity|Openstack|
Telecommunication Engineer Required in Canada/Australia Under PR,I2canz Outsourcing Private Limited,Australia|Canada,2-10years,3550000 - 4050000 INR,"Telecommunication carriers managers plan, organize, direct, control and evaluate the operations of a telecommunications establishment, department or facility. They are employed by wired, wireless, satellite and other telecommunications carriers. |      |",ElectronicsTelecommunications|Telecommunication|TelecomEngineering|LanWanTelecommunication|NetworkingTelephonyDomain|Troubleshooting|Telecommunication|Telecom|ManagerNetworks|Broadband|
Senior Technical Specialist - Database,Serviam Consultancy Services,Mumbai,5-10years,Not Specified,Experienced in defining & realizing end-to-end Database Architecture for large scale enterprise systems.,SeniorTechnicalSpecialist|Database|ORACLE|MSSQL|MySql|Servers|Storage|LanWan|
IT Engineer reqd. In Canada & Australia,Shalitin Immigrations LLP,Australia|Canada,4-10years,6000000 - 8500000 INR,"IT Engineers are high-level IT personnel who design, install, and maintain a company’s computer systems. They are responsible for testing, configuring, and troubleshooting hardware, software, and networking systems to meet the needs of the employer.",ITHead|ComputerEngineer|hardwareengineer|ItManagement|DataNetwork|NetworkEngineer|NetworkAdmin|ItManager|ItInfrastructure|LanWan|
Senior Technical Specialist - Database,Serviam Consultancy Services,Mumbai,4-6years,Not Specified,Experienced in defining & realizing end-to-end Oracle Database Architecture for large scale enterprise systems.,SeniorTechnicalSpecialist|Database|ORACLE|MSSQL|MySql|Servers|Storage|LanWan|
Senior Software Engineer,Vitestork Consulting Private Limited,Bengaluru/Bangalore,6-9years,Not Specified,Looking for Sr. software engineer with 6to9 years of experience in Networking and Device side.,inteldpdk|SDWAN|IpRouting|LinuxNetworking|Sdn|
Senior Network Engineer /Hiring for Abroad,Adal Immigrations LLP,Australia|Canada,2-7years,2000000 - 5000000 INR,Troubleshooting network problems and outages.,SeniorNetworkEngineer|Hardware|Firewall|Cisco|Switches|Routers|Networking|Wan|Lan|Networkengineer|NetworkAdministrator|Storage|
Network Engineer L1 Immediate Requirement,UKB IT Solutions Private Limited,Noida,1-5years,Not Specified,We at UKB IT Solutions looking for Immediate Requirement for Network Engineer L1 Position.  |  Work Location - Noida |  Work feasibility - Work from Noida office only |  Joining Date : April 1st 2021 |  Status of Employment - full time,SDWANdevices|sohonetworkdevicesLAN|Cisco|NetworkDesigning|Router|Wan|Tftp|
Desktop Engineer,Fazo Software,Chennai,0-1years,Not Specified,Desktop Support Engineer. |  Fresher. |  Immediate Joining. |  Salary 10000,HardwareEngineer|DesktopSupportEngineer|HardwareEngineerHardware|Freshers|Undergraduates|GraduateFresher|Graduates|DesktopEngineer|CustomerSupportEngineer|Networkengineer|Networking|Lan|Wan|Routers|NetworkAdministrator|Storage|
L3 Service Help desk Support Technical for Pune International BPO,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore|Pune,2-7years,Not Specified,"Remote Desktop Support, Troubleshooting network connectivity in a LAN/WAN environment.",InternationalBpo|Networking|Lan|Wan|RemoteDesktop|NetworkTroubleshooting|Windows|DesktopSupport|
Looking For Enthusiast Technical Engineer_ 1 To 3 Years_ Chennai,Novac Technology Solutions Private Limited,Chennai,1-3years,Not Specified,ob Domain: IT Infrastructure Engineer |   |   |   |  Job Title / Role: Technical Engineer |   |   |  Education Qualification: B.E in Computers / Information Technology / Electronics & Telecommunication from recognized university / B.Sc. Information Technology from recogn,Installation|Troubleshooting|RemoteInfrastructure|ItHelpdesk|HardwareNetworking|Networking|Wan|Routing|Configuring|Wlan|Ccna|ItInfrastructure|DesktopSupport|RemoteSupport|Lan|InformationTechnology|
Server Administrator || Max. 8 LPA,Career Carnival LLP,Faridabad,5-6years,500000 - 700000 INR,Total Experience : 8 – 10 years |  Relevant Experience : 5 - 6 years |  Salary : 7 – 8 LPA |  Notice Period : within 30 days |,Linux/UNIXadministration|LAN/WANnetworking|ActiveDirectory|DFSR|ADFSVMWareServer|Virtualization|Configuration|WindowsServer|Dns|
Network Administrator,Aayam Consultants,Delhi,4-7years,1100000 - 1200000 INR,Network Engg.\ Administrator as Resident Engineer and is required to manage the Networking/ IT Infrastructure at Cyber Security Training Centre (CSTC).,Switching|Mpls|Mpls|NetworkEngineer|NetworkAdministrator|Networking|Systemadministrator|Networksecurity|LanWan|Firewall|Routing|Wireless|OSPF|Rip|L2|L2Support|L3|Cisco|Juniper|
NETWORK SECURITY LEAD,Best infosystems Ltd,Bengaluru/Bangalore,8-10years,Not Specified,"Fortinet SD-WAN, Fortigate firewalls, Aruba Switches.",FortinetSD-WAN|Fortigatefirewalls|ArubaSwitches|NETWORKSECURITYLEAD|
Network Engineer,Acute Informatics Private Limited,Ahmedabad,1-6years,Not Specified,"Monitoring, troubleshooting & management of networking devices & appliances. |   |  •Extending technical support for clients over email, portal and phone |   |  •Follows agreed procedures, performs simple installations, replaces consumable items, and checks corr",Lan|Wan|Networking|
Network Engineer - an exciting job opportunity,Synersoft Technologies Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-4years,350000 - 550000 INR,IMPORTANT: CANDIDATE SHOULD HAVE GOOD COMMUNICATION SKILLS IN ENGLISH AND HINDI AS THE JOB WOULD INVOLVE GIVING PRODUCT/SOLUTION PRESENTATIONS TO CUSTOMERS ONLINE /OFFLINE.,Hardware|MCP|Networking|Networkengineer|Lan|Wan|Routers|NetworkAdministrator|Storage|Ccna|MCSE|Cisco|HardwareNetworking|A+|N+|Ccnp|
Channel Sales Manager/Channel Sales Networking/Regional Channel Sales/Partner Account Manager,Shree Chanakya Education Society,Bengaluru/Bangalore|Delhi,3-8years,400000 - 900000 INR,"CANDIDATE : MALE/FEMALE |  WORKING EXPERIENCE: 5 TO 8 YEAR (NETWORKING /SECURITY BACK GROUND-AV,FIREWALL,UTM,DLP,WAN.LAN) |   |  EXPERINCES : OEM, ND MUST |  DETAILS PROFILE : WILL NEED TO HAVE EXPERIENCES OF ACCOUNT MANAGEMENT/SI MANAGEMENT |",NETWORKING/SECURITYBACKGROUND-AV|UTM|WAN.LA|Firewall|Dlp|
Computer Lab Assistant,Advance Jobs Private Limited,Pune,1-2years,Not Specified,To implement and maintain IT infrastructure and guide the computer users i.e. staff and students.,Hardware|Desktop|Servers|Networking|Lan|Wan|Routers|Storage|
